url,slug,title,content_type,source_sitemap,lastmod
https://ionutojica.ro/,home,,post,https://ionutojica.ro/post-sitemap1.xml,2025-02-22T07:12:18+01:00
https://ionutojica.ro/website-artbodenleger-artbodenleger-de/,website-artbodenleger-artbodenleger-de,,post,https://ionutojica.ro/post-sitemap1.xml,2025-10-13T21:09:47+02:00
https://ionutojica.ro/marcarea-email-urilor-ca-spam/,marcarea-email-urilor-ca-spam,,post,https://ionutojica.ro/post-sitemap1.xml,2025-02-16T18:39:26+01:00
https://ionutojica.ro/phishing/,phishing,,post,https://ionutojica.ro/post-sitemap1.xml,2023-04-01T22:45:49+02:00
https://ionutojica.ro/newslettere-emailuri-dezabonare/,newslettere-emailuri-dezabonare,,post,https://ionutojica.ro/post-sitemap1.xml,2023-04-01T19:41:57+02:00
https://ionutojica.ro/programe-open-source-gratuite-de-automatizare/,programe-open-source-gratuite-de-automatizare,,post,https://ionutojica.ro/post-sitemap1.xml,2023-01-25T19:42:40+01:00
https://ionutojica.ro/o-idee-si-presupunerea-ca-excel-ma-poate-ajuta/,o-idee-si-presupunerea-ca-excel-ma-poate-ajuta,,post,https://ionutojica.ro/post-sitemap1.xml,2022-12-08T22:50:43+01:00
https://ionutojica.ro/documente-excel-deschise-la-fiecare-pornire-a-excel-ului/,documente-excel-deschise-la-fiecare-pornire-a-excel-ului,,post,https://ionutojica.ro/post-sitemap1.xml,2022-11-24T17:33:38+01:00
https://ionutojica.ro/documente-imense-si-complexe-in-excel-fara-functii-volatile/,documente-imense-si-complexe-in-excel-fara-functii-volatile,,post,https://ionutojica.ro/post-sitemap1.xml,2022-11-11T18:56:08+01:00
https://ionutojica.ro/daca-atunci-in-excel-este-if/,daca-atunci-in-excel-este-if,,post,https://ionutojica.ro/post-sitemap1.xml,2022-11-02T09:10:00+01:00
https://ionutojica.ro/de-ce-formule-si-nu-functii-in-excel/,de-ce-formule-si-nu-functii-in-excel,,post,https://ionutojica.ro/post-sitemap1.xml,2022-11-01T08:30:00+01:00
https://ionutojica.ro/ce-au-excel-si-catia-v5-in-comun/,ce-au-excel-si-catia-v5-in-comun,,post,https://ionutojica.ro/post-sitemap1.xml,2022-10-28T15:52:48+02:00
https://ionutojica.ro/strategia-in-catia-v5/,strategia-in-catia-v5,,post,https://ionutojica.ro/post-sitemap1.xml,2022-10-26T17:15:00+02:00
https://ionutojica.ro/invata-catia-v5-de-la-zero/,invata-catia-v5-de-la-zero,,post,https://ionutojica.ro/post-sitemap1.xml,2022-10-25T18:36:02+02:00
https://ionutojica.ro/2-formule-de-arie-in-excel/,2-formule-de-arie-in-excel,,post,https://ionutojica.ro/post-sitemap1.xml,2022-10-24T14:44:14+02:00
https://ionutojica.ro/cum-sa-instalez-mautic-gata-pentru-productie/,cum-sa-instalez-mautic-gata-pentru-productie,,post,https://ionutojica.ro/post-sitemap1.xml,2022-08-11T05:51:31+02:00
https://ionutojica.ro/excel-a-dezactivat-toate-butoanele/,excel-a-dezactivat-toate-butoanele,,post,https://ionutojica.ro/post-sitemap1.xml,2022-08-06T05:15:09+02:00
https://ionutojica.ro/toate-functiile-mautic-partea-1/,toate-functiile-mautic-partea-1,,post,https://ionutojica.ro/post-sitemap1.xml,2022-06-25T13:19:21+02:00
https://ionutojica.ro/pornirea-vps-pentru-mautic/,pornirea-vps-pentru-mautic,,post,https://ionutojica.ro/post-sitemap1.xml,2022-06-12T17:20:52+02:00
https://ionutojica.ro/cum-reactionezi-cand-a-venit-stresul-dar-inca-nu-stii/,cum-reactionezi-cand-a-venit-stresul-dar-inca-nu-stii,,post,https://ionutojica.ro/post-sitemap1.xml,2022-06-04T08:08:00+02:00
https://ionutojica.ro/o-noua-versiune-mautic-4-3-promite-noi-functii/,o-noua-versiune-mautic-4-3-promite-noi-functii,,post,https://ionutojica.ro/post-sitemap1.xml,2022-06-03T08:02:00+02:00
https://ionutojica.ro/mautic-este-gratuit-pur-si-simplu-care-sunt-minusurile/,mautic-este-gratuit-pur-si-simplu-care-sunt-minusurile,,post,https://ionutojica.ro/post-sitemap1.xml,2022-05-28T11:11:32+02:00
https://ionutojica.ro/de-ce-mautic-dintre-425-altele/,de-ce-mautic-dintre-425-altele,,post,https://ionutojica.ro/post-sitemap1.xml,2022-05-26T23:21:46+02:00
https://ionutojica.ro/ce-este-mautic/,ce-este-mautic,,post,https://ionutojica.ro/post-sitemap1.xml,2022-05-26T07:23:37+02:00
